2024-10-30 14:48:22 | INFO | books2:<module>:5 | Starting Books API...
2024-10-30 17:03:50 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:04:00 | INFO | books2:find_book_by_location:101 | Finding the books with loction: Location 9
2024-10-30 17:04:00 | INFO | books2:find_book_by_location:104 | Found 1 books with location: Location 9
2024-10-30 17:04:23 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:31:43 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:32:33 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:33:49 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:34:10 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:34:11 | INFO | books2:find_book_by_id:111 | Finding book with ID: 5
2024-10-30 17:34:11 | INFO | books2:find_book_by_id:116 | Book with ID: 5 not found
2024-10-30 17:34:17 | INFO | books2:find_book_by_id:111 | Finding book with ID: 6
2024-10-30 17:34:17 | INFO | books2:find_book_by_id:116 | Book with ID: 6 not found
2024-10-30 17:34:43 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:34:49 | INFO | books2:find_book_by_id:111 | Finding book with ID: 1
2024-10-30 17:34:49 | INFO | books2:find_book_by_id:114 | Found book with ID: 1
2024-10-30 17:41:37 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:42:33 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:51:36 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:55:29 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 17:55:42 | INFO | books2:find_book_by_id:113 | Finding book with ID: 15
2024-10-30 17:55:42 | INFO | books2:find_book_by_id:118 | Book with ID: 15 not found
2024-10-30 17:56:52 | INFO | books2:find_book_by_id:113 | Finding book with ID: 54
2024-10-30 17:56:52 | INFO | books2:find_book_by_id:118 | Book with ID: 54 not found
2024-10-30 17:59:58 | INFO | books2:<module>:6 | Starting Books API...
2024-10-30 18:02:21 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:02:56 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:04:27 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:06:25 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:06:47 | INFO | books2:retrieve_all_books:80 | Retrieving all books
2024-10-30 18:07:20 | INFO | books2:delete_book:151 | Deleting book with ID: 5
2024-10-30 18:07:20 | INFO | books2:delete_book:156 | Successfully deleted book with ID: 5
2024-10-30 18:08:04 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:08:43 | INFO | books2:create_book:85 | Creating new book with details: id=None title='Book Title' author='Book Author' description='Book Description' rating=5 pages=300 year=2000 genre='Book Genre' publisher='Book Publisher' language='Book Language' price=19.99 location="Author's Location"
2024-10-30 18:08:43 | INFO | books2:create_book:89 | Successfully created book with ID: 11
2024-10-30 18:09:33 | INFO | books2:retrieve_all_books:80 | Retrieving all books
2024-10-30 18:10:22 | INFO | books2:update_book:139 | Updating book with ID: 1
2024-10-30 18:10:22 | INFO | books2:update_book:143 | Successfully updated book with ID: 1
2024-10-30 18:10:22 | INFO | books2:update_book:145 | Book with ID: 1 not found
2024-10-30 18:10:39 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:10:52 | INFO | books2:update_book:139 | Updating book with ID: 1
2024-10-30 18:10:52 | INFO | books2:update_book:143 | Successfully updated book with ID: 1
2024-10-30 18:10:52 | INFO | books2:update_book:145 | Book with ID: 1 not found
2024-10-30 18:12:25 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:12:29 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:12:50 | INFO | books2:update_book:139 | Updating book with ID: 1
2024-10-30 18:12:50 | INFO | books2:update_book:145 | Successfully updated book with ID: 1
2024-10-30 18:19:28 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:19:49 | INFO | books2:update_book:139 | Updating book with ID: 1
2024-10-30 18:20:05 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:20:15 | INFO | books2:update_book:139 | Updating book with ID: 1
2024-10-30 18:20:15 | INFO | books2:update_book:143 | Successfully updated book with ID: 1
2024-10-30 18:20:15 | INFO | books2:update_book:145 | Book with ID: 1 not found
2024-10-30 18:20:29 | INFO | books2:retrieve_all_books:80 | Retrieving all books
2024-10-30 18:20:39 | INFO | books2:update_book:139 | Updating book with ID: 1
2024-10-30 18:20:39 | INFO | books2:update_book:143 | Successfully updated book with ID: 1
2024-10-30 18:20:39 | INFO | books2:update_book:145 | Book with ID: 1 not found
2024-10-30 18:20:59 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:21:17 | INFO | books2:update_book:139 | Updating book with ID: 1
2024-10-30 18:21:17 | INFO | books2:update_book:143 | Successfully updated book with ID: 1
2024-10-30 18:27:55 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:28:41 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:31:26 | INFO | books2:<module>:7 | Starting Books API...
2024-10-30 18:31:30 | INFO | books2:<module>:7 | Starting Books API...
